nodeId,labels,properties
0,[Endpoint],"{
  name: Endpoint1,
  AP: AP1,
  ip: 192.168.10.1
}"
1,[Endpoint],"{
  name: Endpoint2,
  AP: AP1,
  ip: 192.168.10.2
}"
2,[Endpoint],"{
  name: Endpoint2,
  AP: AP1,
  ip: 192.168.10.2
}"
3,[Endpoint],"{
  name: Endpoint4,
  AP: AP1,
  ip: 192.168.10.4
}"
4,[Endpoint],"{
  name: Endpoint5,
  AP: AP1,
  ip: 192.168.10.5
}"
5,[Endpoint],"{
  name: Endpoint6,
  AP: AP1,
  ip: 192.168.10.6
}"
6,[Endpoint],"{
  name: Endpoint7,
  AP: AP1,
  ip: 192.168.10.7
}"
7,[Endpoint],"{
  name: Endpoint8,
  AP: AP1,
  ip: 192.168.10.8
}"
8,[Endpoint],"{
  name: Endpoint9,
  AP: AP1,
  ip: 192.168.10.9
}"
9,[Endpoint],"{
  name: Endpoint10,
  AP: AP1,
  ip: 192.168.10.10
}"
10,[Endpoint],"{
  name: Endpoint11,
  AP: AP2,
  ip: 192.168.10.11
}"
11,[Endpoint],"{
  name: Endpoint12,
  AP: AP2,
  ip: 192.168.10.12
}"
12,[Endpoint],"{
  name: Endpoint13,
  AP: AP2,
  ip: 192.168.10.13
}"
13,[Endpoint],"{
  name: Endpoint14,
  AP: AP2,
  ip: 192.168.10.14
}"
14,[Endpoint],"{
  name: Endpoint15,
  AP: AP2,
  ip: 192.168.10.15
}"
15,[Endpoint],"{
  name: Endpoint16,
  AP: AP2,
  ip: 192.168.10.16
}"
16,[Endpoint],"{
  name: Endpoint17,
  AP: AP2,
  ip: 192.168.10.17
}"
17,[Endpoint],"{
  name: Endpoint18,
  AP: AP2,
  ip: 192.168.10.18
}"
18,[Endpoint],"{
  name: Endpoint19,
  AP: AP2,
  ip: 192.168.10.19
}"
19,[Endpoint],"{
  name: Endpoint20,
  AP: AP2,
  ip: 192.168.10.20
}"
20,[Endpoint],"{
  name: Endpoint21,
  AP: AP3,
  ip: 192.168.10.21
}"
21,[Endpoint],"{
  name: Endpoint22,
  AP: AP3,
  ip: 192.168.10.22
}"
22,[Endpoint],"{
  name: Endpoint23,
  AP: AP3,
  ip: 192.168.10.23
}"
23,[Endpoint],"{
  name: Endpoint24,
  AP: AP3,
  ip: 192.168.10.24
}"
24,[Endpoint],"{
  name: Endpoint25,
  AP: AP3,
  ip: 192.168.10.25
}"
25,[Endpoint],"{
  name: Endpoint26,
  AP: AP3,
  ip: 192.168.10.26
}"
26,[Endpoint],"{
  name: Endpoint27,
  AP: AP3,
  ip: 192.168.10.27
}"
27,[Endpoint],"{
  name: Endpoint28,
  AP: AP3,
  ip: 192.168.10.28
}"
28,[Endpoint],"{
  name: Endpoint29,
  AP: AP3,
  ip: 192.168.10.29
}"
29,[Endpoint],"{
  name: Endpoint30,
  AP: AP3,
  ip: 192.168.10.30
}"
30,[Endpoint],"{
  name: Endpoint31,
  AP: AP4,
  ip: 192.168.10.31
}"
31,[Endpoint],"{
  name: Endpoint32,
  AP: AP4,
  ip: 192.168.10.32
}"
32,[Endpoint],"{
  name: Endpoint33,
  AP: AP4,
  ip: 192.168.10.33
}"
33,[Endpoint],"{
  name: Endpoint34,
  AP: AP4,
  ip: 192.168.10.34
}"
34,[Endpoint],"{
  name: Endpoint35,
  AP: AP4,
  ip: 192.168.10.35
}"
35,[Endpoint],"{
  name: Endpoint36,
  AP: AP4,
  ip: 192.168.10.36
}"
